Note 156: MIDI 60.986820576352436 (Start: 6.82s, Duration: 0.03s)
Note 157: MIDI 60.58682057635244 (Start: 6.85s, Duration: 0.03s)
Note 158: MIDI 59.98682057635243 (Start: 6.88s, Duration: 0.13s)
Note 159: MIDI 58.98682057635243 (Start: 7.01s, Duration: 0.03s)
Note 160: MIDI 59.08682057635242 (Start: 7.04s, Duration: 0.03s)
Note 161: MIDI 58.98682057635243 (Start: 7.07s, Duration: 0.06s)
Note 162: MIDI 58.88682057635243 (Start: 7.14s, Duration: 0.03s)
Note 163: MIDI 59.286820576352426 (Start: 7.17s, Duration: 0.03s)
Note 164: MIDI 59.386820576352434 (Start: 7.20s, Duration: 0.03s)
Note 165: MIDI 59.48682057635243 (Start: 7.23s, Duration: 0.03s)
Note 166: MIDI 60.88682057635244 (Start: 7.26s, Duration: 0.03s)
Note 167: MIDI 60.58682057635244 (Start: 7.30s, Duration: 0.03s)
Note 168: MIDI 60.08682057635242 (Start: 7.33s, Duration: 0.03s)
Note 169: MIDI 59.18682057635243 (Start: 7.36s, Duration: 0.03s)
Note 170: MIDI 58.98682057635243 (Start: 7.39s, Duration: 0.03s)
Note 171: MIDI 58.88682057635243 (Start: 7.42s, Duration: 0.03s)
Note 172: MIDI 58.68682057635243 (Start: 7.46s, Duration: 0.03s)
Note 173: MIDI 58.18682057635243 (Start: 7.49s, Duration: 0.03s)
Note 174: MIDI nan (Start: 7.52s, Duration: 0.03s)
Note 175: MIDI nan (Start: 7.55s, Duration: 0.22s)
Note 176: MIDI 39.98682057635243 (Start: 7.78s, Duration: 0.03s)
Note 177: MIDI 40.18682057635243 (Start: 7.81s, Duration: 0.03s)
Note 178: MIDI 40.08682057635243 (Start: 7.84s, Duration: 0.03s)
Note 179: MIDI 39.98682057635243 (Start: 7.87s, Duration: 0.03s)
Note 180: MIDI 40.18682057635243 (Start: 7.90s, Duration: 0.03s)
Note 181: MIDI 40.08682057635243 (Start: 7.94s, Duration: 0.03s)
Note 182: MIDI 39.98682057635243 (Start: 7.97s, Duration: 0.03s)
Note 183: MIDI 43.98682057635243 (Start: 8.00s, Duration: 0.03s)
Note 184: MIDI nan (Start: 8.03s, Duration: 0.03s)
Note 185: MIDI 55.88682057635243 (Start: 8.06s, Duration: 0.03s)
Note 186: MIDI 56.08682057635242 (Start: 8.10s, Duration: 0.06s)
Note 187: MIDI 56.18682057635243 (Start: 8.16s, Duration: 0.03s)
Note 188: MIDI 55.98682057635243 (Start: 8.19s, Duration: 0.03s)
Note 189: MIDI 56.18682057635243 (Start: 8.22s, Duration: 0.03s)
Note 190: MIDI 58.48682057635243 (Start: 8.26s, Duration: 0.03s)
Note 191: MIDI 58.98682057635243 (Start: 8.29s, Duration: 0.03s)
Note 192: MIDI 59.08682057635242 (Start: 8.32s, Duration: 0.03s)
Note 193: MIDI 58.88682057635243 (Start: 8.35s, Duration: 0.03s)
Note 194: MIDI nan (Start: 8.38s, Duration: 0.03s)
Note 195: MIDI nan (Start: 8.42s, Duration: 0.03s)
Note 196: MIDI nan (Start: 8.45s, Duration: 0.03s)
Note 197: MIDI 58.78682057635243 (Start: 8.48s, Duration: 0.10s)
Note 198: MIDI 58.88682057635243 (Start: 8.58s, Duration: 0.03s)
Note 199: MIDI 58.98682057635243 (Start: 8.61s, Duration: 0.03s)
Note 200: MIDI 59.286820576352426 (Start: 8.64s, Duration: 0.03s)
Note 201: MIDI nan (Start: 8.67s, Duration: 0.03s)
Note 202: MIDI 62.486820576352436 (Start: 8.70s, Duration: 0.03s)
Note 203: MIDI 62.58682057635243 (Start: 8.74s, Duration: 0.03s)
Note 204: MIDI 62.18682057635243 (Start: 8.77s, Duration: 0.03s)
Note 205: MIDI 61.08682057635243 (Start: 8.80s, Duration: 0.03s)
Note 206: MIDI 60.986820576352436 (Start: 8.83s, Duration: 0.03s)
